Instance;MemorySize;Solutions Obtained;Memory Errors;Constraints Max;Variables Max;Coef Max;Constraints Presolved Mean;Constraints Presolved StdDev;Constraints R;Constraints Mean;Constraints StdDev;Variables Presolved Mean;Variables Presolved StdDev;Variables R;Variables Mean;Variables StdDev;Coef Presolved Mean;Coef Presolved StdDev;Coef R;Coef Mean;Coef StdDev
i01;332.00;3;0;32432.00;39201.00;140944.00;13372.00;0.00;2.4254;;;33346.00;0.00;1.1756;;;107685.00;0.00;1.3089;;
i02;479.00;3;0;51650.00;63454.00;225427.00;17118.00;2.8284;3.0173;;;46404.6667;10.3709;1.3674;;;152336.00;29.6985;1.4798;;
i03;446.00;3;0;43838.00;55774.00;203558.00;17882.6667;3.7712;2.4514;;;46994.6667;67.4108;1.1868;;;154754.00;319.6123;1.3154;;
i04;1639.00;3;0;167498.00;198673.00;691915.00;46864.00;0.00;3.5741;;;151838.00;0.00;1.3085;;;497153.00;0.00;1.3918;;
i05;5220.00;3;0;569553.00;659866.00;2484462.00;141658.00;0.00;4.0206;;;518854.00;0.00;1.2718;;;1791508.00;0.00;1.3868;;
i06;2800.00;3;0;274704.00;331916.00;1240563.00;92503.3333;8.0139;2.9697;;;290844.3333;6.5997;1.1412;;;972649.6667;8.0139;1.2754;;
i07;3957.00;3;0;407629.00;482498.00;1692853.00;105855.00;0.00;3.8508;;;374643.00;0.00;1.2879;;;1243625.00;0.00;1.3612;;
i08;17421.00;0;0;1800217.00;2058187.00;7641746.00;448232.00;0.00;4.0163;;;1819202.00;0.00;1.1314;;;6209413.00;0.00;1.2307;;
i09;4429.00;3;0;466187.00;547811.00;1982632.00;132430.00;0.00;3.5203;;;453245.00;0.00;1.2086;;;1507833.00;0.00;1.3149;;
i10;5412.00;3;0;560375.00;683369.00;2550805.00;168502.6667;1.8856;3.3256;;;632982.00;62.2254;1.0796;;;2158426.3333;173.0055;1.1818;;
i11;6524.00;3;0;725020.00;840833.00;2947515.00;189913.00;0.00;3.8176;;;681404.00;0.00;1.234;;;2256570.00;0.00;1.3062;;
i12;5116.00;3;0;485034.00;603960.00;2062123.00;142232.6667;40.8276;3.4101;;;555360.00;16.2686;1.0875;;;1783196.6667;107.0213;1.1564;;
i13;5117.00;3;0;506051.00;637858.00;2284307.00;148702.6667;37.7124;3.4031;;;537472.3333;966.8507;1.1868;;;1776717.00;3336.1298;1.2857;;
i14;13509.00;3;0;1420301.00;1690460.00;5710167.00;325529.3333;296.5134;4.3631;;;1477276.00;106.066;1.1443;;;4851041.6667;2605.9242;1.1771;;
i15;11046.00;3;0;1168837.00;1380804.00;4897581.00;276952.3333;44.7834;4.2204;;;1111756.00;9734.0319;1.242;;;3729156.00;37572.8259;1.3133;;
i16;9099.00;1;0;962898.00;1190237.00;3984793.00;240871.3333;66.5649;3.9976;;;1043540.3333;176.9036;1.1406;;;3365083.6667;293.101;1.1842;;
i17;56517.00;0;0;6084632.00;6909606.00;26612543.00;1516978.00;0.00;4.011;;;6495540.00;0.00;1.0637;;;23724915.00;0.00;1.1217;;
i18;30023.00;3;0;3483770.00;4016814.00;14557648.00;792748.6667;0.4714;4.3945;;;3622306.00;7.7889;1.1089;;;12933751.00;15.5778;1.1256;;
i19;101644.00;0;3;11907324.00;13306054.00;50241369.00;2467255.00;0.00;4.8261;;;11700076.00;0.00;1.1373;;;42549132.00;0.00;1.1808;;
i20;9089.00;1;0;991525.00;1232710.00;4197988.00;236595.00;72.1249;4.1908;;;1048234.6667;3.2998;1.176;;;3406931.6667;418.1358;1.2322;;
i21;48266.00;3;0;5091564.00;5817785.00;21519529.00;1218385.00;4.2426;4.1789;;;5218431.00;12.7279;1.1149;;;18794612.00;25.4558;1.145;;
i22;45515.00;0;0;7835323.00;9214631.00;33537629.00;1857266.00;540.9368;4.2187;;;7966244.6667;199790.4283;1.1567;;;28449289.3333;728444.9068;1.1789;;
i23;72582.00;0;1;13210138.00;15018178.00;55296173.00;2660593.3333;11758.243;4.9651;;;12782037.00;785950.6015;1.1749;;;46289163.00;2900102.2965;1.1946;;
i24;70379.00;0;3;17332709.00;19819382.00;70638367.00;3349982.6667;0.4714;5.174;;;16351558.6667;0.4714;1.2121;;;58361158.3333;0.9428;1.2104;;
i25;27917.6667;3;0;4983068.00;5723695.00;20057740.00;1179469.3333;470.4617;4.2248;;;4970091.3333;1036.1471;1.1516;;;17407226.6667;3506.3068;1.1523;;
i26;82582.3333;0;3;14886229.00;17085138.00;62562124.00;2919540.6667;2314.5962;5.0988;;;14778437.6667;686611.5268;1.1561;;;53440848.3333;2626817.3107;1.1707;;
i27;69828.00;0;3;17292649.00;19614293.00;73070806.00;3246267.00;0.00;5.3269;;;16653115.00;0.00;1.1778;;;60665366.00;0.00;1.2045;;
i28;42925.00;0;0;7671490.00;9025252.00;31369128.00;1745131.6667;5446.6078;4.3959;;;7918321.3333;473879.3945;1.1398;;;27681387.6667;1680293.1301;1.1332;;
i29;31760.6667;3;0;5841522.00;6725215.00;23349751.00;1331926.3333;1504.2518;4.3858;;;5837249.6667;4834.2534;1.1521;;;20269897.6667;18601.6224;1.1519;;
i30;45994.6667;0;0;8090423.00;9505619.00;33335029.00;1833839.00;1233.1942;4.4117;;;8411025.00;530634.1418;1.1301;;;29527464.6667;1909974.1405;1.1289;;
final;;;;;;;;;;4.0062;0.7181;;;;1.1749;0.0674;;;;1.2333;0.092
